Algorithm: Config_3b.txt
Run Time: 10(s)
Runs: 100
Instance Name        | Instance Best Objective Value  | Instance Average Objective Value | Highest Objective Value Count  | |C|                           
Run: 1
gen400_p0.9_75.clq   | 8006                           | 8006.00                          | 3                              | 75                            
hamming10-2.clq      | 50512                          | 50445.00                         | 2                              | 512                           
hamming10-4.clq      | 4847                           | 4838.00                          | 1                              | 33                            
hamming6-2.clq       | 1072                           | 1072.00                          | 3                              | 32                            
hamming6-4.clq       | 134                            | 134.00                           | 3                              | 4                             
hamming8-2.clq       | 10976                          | 10976.00                         | 3                              | 128                           
hamming8-4.clq       | 1472                           | 1472.00                          | 3                              | 16                            
johnson16-2-4.clq    | 548                            | 548.00                           | 3                              | 8                             
johnson32-2-4.clq    | 1963                           | 1945.00                          | 1                              | 16                            
johnson8-2-4.clq     | 66                             | 66.00                            | 3                              | 4                             
johnson8-4-4.clq     | 511                            | 511.00                           | 3                              | 14                            
keller4.clq          | 1153                           | 1153.00                          | 3                              | 11                            
keller5.clq          | 3317                           | 3317.00                          | 3                              | 27                            
keller6.clq          | 6985                           | 6789.00                          | 1                              | 45                            
MANN_a27.clq         | 12252                          | 12251.00                         | 1                              | 125                           
MANN_a45.clq         | 34150                          | 34144.00                         | 1                              | 340                           
MANN_a81.clq         | 111108                         | 111085.00                        | 1                              | 1095                          
MANN_a9.clq          | 372                            | 372.00                           | 3                              | 16                            
p_hat1000-1.clq      | 1514                           | 1497.00                          | 1                              | 9                             
p_hat1000-2.clq      | 5777                           | 5763.00                          | 2                              | 42                            
p_hat1000-3.clq      | 7950                           | 7910.00                          | 1                              | 59                            
p_hat1500-1.clq      | 1619                           | 1601.00                          | 2                              | 10                            
p_hat1500-2.clq      | 7273                           | 7273.00                          | 3                              | 53                            
p_hat1500-3.clq      | 10121                          | 10082.00                         | 1                              | 80                            
p_hat300-1.clq       | 1057                           | 1057.00                          | 3                              | 7                             
p_hat300-2.clq       | 2487                           | 2487.00                          | 3                              | 20                            
p_hat300-3.clq       | 3774                           | 3774.00                          | 3                              | 29                            
p_hat500-1.clq       | 1231                           | 1231.00                          | 3                              | 8                             
p_hat500-2.clq       | 3920                           | 3920.00                          | 3                              | 31                            
p_hat500-3.clq       | 5375                           | 5375.00                          | 3                              | 42                            
p_hat700-1.clq       | 1441                           | 1441.00                          | 3                              | 9                             
p_hat700-2.clq       | 5233                           | 5233.00                          | 3                              | 42                            
p_hat700-3.clq       | 7565                           | 7550.00                          | 1                              | 58                            
san1000.clq          | 1716                           | 1716.00                          | 3                              | 9                             
san200_0.7_1.clq     | 3370                           | 3370.00                          | 3                              | 30                            
san200_0.7_2.clq     | 2422                           | 2374.00                          | 1                              | 14                            
san200_0.9_1.clq     | 6825                           | 6825.00                          | 3                              | 70                            
san200_0.9_2.clq     | 6082                           | 6082.00                          | 3                              | 60                            
san200_0.9_3.clq     | 4745                           | 4732.00                          | 1                              | 34                            
san400_0.5_1.clq     | 1455                           | 1455.00                          | 3                              | 8                             
san400_0.7_1.clq     | 3641                           | 3629.00                          | 1                              | 21                            
san400_0.7_2.clq     | 2917                           | 2916.00                          | 2                              | 16                            
san400_0.7_3.clq     | 2579                           | 2579.00                          | 3                              | 15                            
san400_0.9_1.clq     | 8196                           | 8196.00                          | 3                              | 51                            
sanr200_0.7.clq      | 2325                           | 2325.00                          | 3                              | 15                            
sanr200_0.9.clq      | 5126                           | 5126.00                          | 3                              | 36                            
sanr400_0.5.clq      | 1835                           | 1835.00                          | 3                              | 11                            
sanr400_0.7.clq      | 2992                           | 2992.00                          | 3                              | 18                            

Run: 4
brock200_1.clq       | 2821                           | 2821.00                          | 4                              | 19                            
brock200_2.clq       | 1428                           | 1428.00                          | 4                              | 9                             
brock200_3.clq       | 2062                           | 2062.00                          | 4                              | 13                            
brock200_4.clq       | 2107                           | 2107.00                          | 4                              | 13                            
brock400_1.clq       | 3422                           | 3378.00                          | 1                              | 21                            
