Algorithm: Config_3b.txt
Run Time: 10(s)
Runs: 100
Instance Name        | Instance Best Objective Value  | Instance Average Objective Value | Highest Objective Value Count 
keller5.clq          | 3317                           | 3317.00                          | 17                            
keller6.clq          | 7098                           | 6702.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 3                             
MANN_a45.clq         | 34151                          | 34143.00                         | 2                             
MANN_a81.clq         | 111112                         | 111091.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 17                            

Run: 18
johnson16-2-4.clq    | 548                            | 548.00                           | 18                            
johnson32-2-4.clq    | 1991                           | 1955.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 18                            
johnson8-4-4.clq     | 511                            | 511.00                           | 18                            
keller4.clq          | 1153                           | 1153.00                          | 18                            
keller5.clq          | 3317                           | 3317.00                          | 18                            
keller6.clq          | 7098                           | 6706.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 3                             
MANN_a45.clq         | 34151                          | 34143.00                         | 2                             
MANN_a81.clq         | 111112                         | 111090.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 18                            

Run: 19
johnson16-2-4.clq    | 548                            | 548.00                           | 19                            
johnson32-2-4.clq    | 1991                           | 1954.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 19                            
johnson8-4-4.clq     | 511                            | 511.00                           | 19                            
keller4.clq          | 1153                           | 1153.00                          | 19                            
keller5.clq          | 3317                           | 3317.00                          | 19                            
keller6.clq          | 7231                           | 6734.00                          | 1                             
MANN_a27.clq         | 12253                          | 12252.00                         | 4                             
MANN_a45.clq         | 34151                          | 34143.00                         | 2                             
MANN_a81.clq         | 111112                         | 111089.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 19                            

Run: 20
johnson16-2-4.clq    | 548                            | 548.00                           | 20                            
johnson32-2-4.clq    | 1991                           | 1953.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 20                            
johnson8-4-4.clq     | 511                            | 511.00                           | 20                            
keller4.clq          | 1153                           | 1153.00                          | 20                            
keller5.clq          | 3317                           | 3317.00                          | 20                            
keller6.clq          | 7231                           | 6734.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 4                             
MANN_a45.clq         | 34151                          | 34144.00                         | 3                             
MANN_a81.clq         | 111112                         | 111089.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 20                            

Run: 21
johnson16-2-4.clq    | 548                            | 548.00                           | 21                            
johnson32-2-4.clq    | 1991                           | 1951.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 21                            
johnson8-4-4.clq     | 511                            | 511.00                           | 21                            
keller4.clq          | 1153                           | 1153.00                          | 21                            
keller5.clq          | 3317                           | 3317.00                          | 21                            
keller6.clq          | 7231                           | 6730.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 4                             
MANN_a45.clq         | 34151                          | 34143.00                         | 3                             
MANN_a81.clq         | 111112                         | 111088.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 21                            

Run: 22
johnson16-2-4.clq    | 548                            | 548.00                           | 22                            
johnson32-2-4.clq    | 1991                           | 1951.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 22                            
johnson8-4-4.clq     | 511                            | 511.00                           | 22                            
keller4.clq          | 1153                           | 1153.00                          | 22                            
keller5.clq          | 3317                           | 3317.00                          | 22                            
keller6.clq          | 7231                           | 6735.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 4                             
MANN_a45.clq         | 34152                          | 34144.00                         | 1                             
MANN_a81.clq         | 111112                         | 111088.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 22                            

Run: 23
johnson16-2-4.clq    | 548                            | 548.00                           | 23                            
johnson32-2-4.clq    | 1991                           | 1949.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 23                            
johnson8-4-4.clq     | 511                            | 511.00                           | 23                            
keller4.clq          | 1153                           | 1153.00                          | 23                            
keller5.clq          | 3317                           | 3317.00                          | 23                            
keller6.clq          | 7231                           | 6732.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 4                             
MANN_a45.clq         | 34152                          | 34144.00                         | 1                             
MANN_a81.clq         | 111112                         | 111088.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 23                            

Run: 24
johnson16-2-4.clq    | 548                            | 548.00                           | 24                            
johnson32-2-4.clq    | 1991                           | 1949.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 24                            
johnson8-4-4.clq     | 511                            | 511.00                           | 24                            
keller4.clq          | 1153                           | 1153.00                          | 24                            
keller5.clq          | 3317                           | 3317.00                          | 24                            
keller6.clq          | 7231                           | 6734.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 4                             
MANN_a45.clq         | 34152                          | 34144.00                         | 1                             
MANN_a81.clq         | 111112                         | 111088.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 24                            

Run: 25
johnson16-2-4.clq    | 548                            | 548.00                           | 25                            
johnson32-2-4.clq    | 1991                           | 1949.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 25                            
johnson8-4-4.clq     | 511                            | 511.00                           | 25                            
keller4.clq          | 1153                           | 1153.00                          | 25                            
keller5.clq          | 3317                           | 3317.00                          | 25                            
keller6.clq          | 7231                           | 6727.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 4                             
MANN_a45.clq         | 34152                          | 34144.00                         | 1                             
MANN_a81.clq         | 111112                         | 111087.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 25                            

Run: 26
johnson16-2-4.clq    | 548                            | 548.00                           | 26                            
johnson32-2-4.clq    | 1991                           | 1949.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 26                            
johnson8-4-4.clq     | 511                            | 511.00                           | 26                            
keller4.clq          | 1153                           | 1153.00                          | 26                            
keller5.clq          | 3317                           | 3317.00                          | 26                            
keller6.clq          | 7231                           | 6730.00                          | 1                             
